model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
GBM_1_AutoML_1_20221211_145613,0.8294542298191723,0.4271838735905312,0.6379510920712965,0.256982996670134,0.3747246908602197,0.1404185939402871,2730,0.033,GBM
GLM_1_AutoML_1_20221211_145613,0.8223910164243744,0.4389195101595205,0.60634246014719,0.246424688266473,0.3787161034382309,0.1434258870034368,355,0.007731,GLM
XGBoost_1_AutoML_1_20221211_145613,0.809559610181595,0.5177717462278723,0.5985328942779423,0.2654894571681926,0.4175809576823117,0.1743738562188765,921,0.008092,XGBoost
XGBoost_2_AutoML_1_20221211_145613,0.8007255253977485,0.5313056322135612,0.5870808012118769,0.2766897173493953,0.422661145270815,0.178642443721637,1058,0.008751,XGBoost
