model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
GBM_1_AutoML_1_20221211_150401,0.8294542298191723,0.4271838735905312,0.6379510920712965,0.256982996670134,0.3747246908602197,0.1404185939402871,3463,0.065785,GBM
GLM_1_AutoML_1_20221211_150401,0.8223910164243744,0.4389195101595205,0.60634246014719,0.246424688266473,0.3787161034382309,0.1434258870034368,441,0.012236,GLM
XGBoost_1_AutoML_1_20221211_150401,0.809559610181595,0.5177717462278723,0.5985328942779423,0.2654894571681926,0.4175809576823117,0.1743738562188765,1376,0.018687,XGBoost
